Lengths (in),Diameter (in),Width (in)
6,0.25,0.035
8,0.375,0.058
10,0.5,0.065
12,0.625,0.083
14,0.75,0.095
16,0.875,0.125
18,1,0.1875
20,1.125,0.25
22,1.25,
24,1.375,
26,1.5,
28,,
30,,
32,,
34,,
36,,
